Genus	Basepaws_WGS1	Basepaws_WGS2	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Bergeyella	79	30183	0	0	0	0	0	0	0	0	0	0	0	0	1	3	12	0	0	0	0	0	0	0	0	0	1	0
Robiginitalea	79	3291	1	0	54	0	0	0	0	0	0	0	0	55	54	83	40	0	0	0	0	0	0	0	0	0	0	0
Gilvibacter	41	2677	0	0	35	0	0	0	0	0	0	0	0	24	37	10	14	0	0	0	0	0	0	0	0	0	0	0
Blattabacterium	717	7421	0	0	7	0	0	0	0	0	0	0	0	9	21	9	35	0	0	0	0	0	0	0	0	0	0	0
Fluviicola	303	2537	0	0	133	0	0	0	0	0	0	0	0	182	119	100	77	0	0	0	0	0	0	0	0	0	0	0
CandidatusSulcia	165	862	18	133	5	0	2	0	0	0	0	0	12	1	3	0	3	0	0	0	2	2	3	1	4	0	1	0
CandidatusWalczuchella	1	140	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
Ichthyobacterium	135	2631	0	0	0	0	0	0	0	0	0	0	0	3	18	1	0	0	0	0	0	0	0	0	0	0	0	0
Owenweeksia	123	3990	0	1	99	0	0	0	0	0	0	0	0	124	169	122	32	0	0	0	0	0	0	0	0	0	0	0
Spirosoma	1916	17527	638	2399	771	0	4	1	53	7	18	6	656	932	985	658	477	0	0	1	1	1	4669	720	390	1	56	0
Dyadobacter	736	7035	0	0	355	0	0	0	0	0	0	0	0	446	519	470	118	0	0	0	0	0	0	0	0	0	0	0
Runella	486	4379	0	2	177	0	0	0	0	0	0	0	2	221	193	109	58	0	0	0	0	0	0	0	1	0	1	0
Rhodocytophaga	453	3848	0	0	190	0	0	0	0	0	0	0	0	292	343	204	66	0	0	0	0	0	0	0	0	0	0	0
Fibrella	261	4231	0	1	393	0	0	0	6	18	92	10	0	481	554	346	155	0	0	0	0	0	0	0	0	0	0	0
Arcticibacterium	189	1977	0	0	3	0	0	0	0	0	0	0	0	10	4	13	6	0	0	0	0	0	0	0	0	0	1	0
Cytophaga	126	2455	0	2	191	0	0	0	0	0	0	0	0	247	264	252	60	0	0	0	0	0	0	0	1	0	0	0
Allopseudarcicella	101	2343	5	25	4	0	0	0	0	0	0	0	1	0	13	8	2	0	1	1	0	0	4	0	0	0	0	0
Leadbetterella	85	2790	0	0	13	0	0	0	0	0	0	0	0	12	20	9	5	0	0	0	0	0	0	0	0	0	0	0
Fibrisoma	16	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter	1389	29845	3	12	2101	0	0	6	0	0	0	0	0	2595	2832	3276	1527	0	1	0	0	1	5	1	0	0	2	0
Pontibacter	663	13895	9	21	1037	0	0	0	0	8	45	4	5	1308	1194	1213	869	0	0	0	0	0	7	0	2	0	12	0
Rufibacter	356	7180	0	0	235	0	0	0	0	0	0	0	0	224	274	279	362	0	0	0	0	0	0	0	0	0	0	0
Nibribacter	103	2352	0	0	31	0	0	0	0	0	0	0	0	22	22	32	24	0	0	0	0	0	0	0	0	0	0	0
Echinicola	576	12394	0	0	757	0	0	0	0	0	0	0	0	977	956	572	257	0	0	0	0	0	0	0	0	0	2	0
Cyclobacterium	558	6515	0	6	164	0	0	0	0	0	0	0	1	201	221	123	45	0	0	0	0	0	0	0	0	0	0	0
Algoriphagus	310	2127	3	117	154	0	1	1	0	0	0	0	1	205	253	266	72	0	0	1	3	10	13	3	0	0	0	0
Aquiflexum	262	3401	0	0	176	0	0	0	0	0	0	0	0	263	241	138	43	0	0	0	0	0	0	0	0	0	1	0
Belliella	198	2441	1	0	4	0	0	0	0	0	0	0	0	6	9	3	9	0	0	0	0	0	0	0	0	0	0	0
Flammeovirga	797	5327	6	80	307	0	0	0	0	0	0	0	189	411	416	167	108	0	0	0	0	0	0	0	0	0	0	0
Fabibacter	418	1759	0	1	7	0	0	0	0	0	0	0	0	5	8	13	2	0	0	0	0	0	0	0	0	0	0	0
Marivirga	296	3080	0	0	80	0	0	0	0	0	0	0	0	74	46	60	60	0	0	0	0	0	0	0	0	0	0	0
Bernardetia	552	3765	11	75	6	0	1	0	4	2	7	2	8	9	14	6	14	0	0	1	2	0	12	0	5	0	0	0
Chryseolinea	134	3547	0	0	596	0	0	0	0	0	0	0	0	815	858	625	222	0	0	0	0	0	0	0	0	0	0	0
CandidatusCardinium	132	1910	0	83	19	0	0	0	0	3	0	0	7	29	25	8	4	0	0	0	0	0	1	0	0	0	0	0
CandidatusAmoebophilus	57	10826	4	54	3	0	0	2	0	0	0	0	3	1	1	0	0	0	3	1	1	1	71	8	0	0	0	0
