Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS.DOWNSAMPLE_1M
Anaerococcus	0.00610859555752388	0.0162843175375453	0.00123941846485629	0.0426447456958808	0	0.00161533708719724	0	0.027817818577245	0	0	0	0	0	0.000929733817208133	0.00161998787323363	0.00236981898324787	0.00215967853185053	0.00213631672703131	0	0	0	0	0	0.00609510806626601	0.0446222250553794	0.871627729538311	0	0	0
Finegoldia	0.00343608500110718	0.0179459825923969	0.00247883692971258	0.0685744654406124	0	0.000942279967531725	0.00325831957598401	0.0986268113193233	0	0.00244609419908761	0.00140398169207874	0	0	0	0.00104142077565019	0.00112254583417005	0.00148477899064724	0.00312230906258422	0	0	0	0.00517428724193242	0	0.03138980654127	0.122711118902293	2.76996823659178	0	0	0
Peptoniphilus	0.00305429777876194	0.0182783156033672	0.00123941846485629	0.0870038530277769	0.00250430239150861	0.00269222847866207	0.001086106525328	0.0885112409275978	0.0146380736295104	0.00366914129863141	0.00280796338415747	0.00819430332033171	0.00370665529959041	0.00154955636201356	0.00254569522936714	0.00149672777889339	0.00377943743073843	0.00525862578961553	0	0	0	0.00172476241397747	0.0360092183599001	0.0338278497677764	0.196019060064702	2.04513223695668	0	0.00164036612972015	0
Parvimonas	0.00190893611172621	0.0219339787240406	0.210701139025569	0.000214295204501914	0.000601032573962067	0.000134611423933103	0.00760274567729603	0	0	0	0	0.00163886066406634	0	0.000309911272402711	0.000694280517100129	0.000374181944723349	0.000269959816481317	0.0011503243914784	0.00763650248186331	0	0	0	0	0.000609510806626602	0	0.000829331807362808	0.0994282873477504	0.00546788709906718	1.03092783505155
Murdochiella	0.000381787222345243	0.00664666021940625	0	0.0518594394894631	0.000100172095660344	0.00296145132652828	0	0.331284930329009	0.0109785552221328	0	0	0	0	0	0.00254569522936714	0.00162145509380118	0.00337449770601646	0.0055872899014665	0	0.00181376283237204	0.0101294544275845	0	0	0.0268184754915705	0.0908381010055937	0.64107348709145	0	0.00109357741981344	0
Keratinibaculum	0.0026725105564167	0.00299099709873281	0.0210701139025569	0.00171436163601531	0.000100172095660344	0.000942279967531725	0	0	0	0	0	0	0	0.000309911272402711	0.000231426839033376	0.000249454629815566	0.000674899541203292	0.00147898850332937	0.011454753722795	0	0	0	0	0	0	0.00995198168835369	0	0.00136697177476679	10.3092783505155
Erysipelothrix	0.00572680833517864	0.022266311735011	0.00123941846485629	0.00128577122701148	0.00430740011339481	0.00228839420686276	0.00325831957598401	0.0101155703917255	0	0.0012230470995438	0	0.00163886066406634	0.00555998294938562	0.00216937890681898	0.00173570129275032	0.00137200046398561	0.00107983926592527	0.00312230906258422	0	0.159611129248739	0	0	2.41501824467064	0.000609510806626602	0	0.00165866361472562	0	0.0120293516179478	0
Faecalibacillus	0.00381787222345243	0.00631432720843594	0.00247883692971258	0.501236483329976	0.272367928100477	0.00403834271799311	0.00325831957598401	0.743494423791822	0.567225353143526	0	0.00140398169207874	0	0	0.431396491184574	0.00497567703921759	0.00573745648575801	0.00350947761425712	0.00377963728628616	0	0.651140856821562	0.482162030753024	0.339778195553562	0.0768196658344536	0.608901295819975	0.428692090710609	0.475207125618889	0	0	0
Longicatena	0.00152714888938097	0.0079759922632875	0	0.107576192659961	0.408802322389866	0.0254415591233566	0	0.00505778519586273	0.150040254702481	0.00733828259726282	0.00421194507623621	0.0196663279687961	0.00185332764979521	0.156505192563369	0.0193241410592869	0.0290614643735134	0.0203819661443394	0.36728214499346	0	0.0906881416186019	0.518628066692328	0.572621121440522	1.9348953332053	0.147806370606951	0.176895249326682	0.307682100531602	0	0	0
Catenibacterium	0.000381787222345243	0.00166166505485156	0.00247883692971258	0.0690030558496162	0.0668147878054498	0.00444217698979242	0.00217221305065601	0	0	2.33235081883003	1.14003313396793	2.76967452227212	6.93329873788387	0.039668642867547	0.00323997574646727	0.00236981898324787	0.00688397532027358	0.00279364495073325	0	0	0	0	0	0.00579035266295271	0.00318730178966995	0.00165866361472562	0	0	0
