Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS.DOWNSAMPLE_1M
Enterocloster	0.00449166795594173	0.03928991042656	0.00124998437519531	0.176527381628338	0.0542445301693473	0.383772858191849	0.00220109174150379	0.280918853566603	0.0334848122458742	0.0285948728149787	0.0234545641115851	0.0417850576633796	0.0261927034611787	0.070725619483481	0.282886911966169	0.413038656437147	0.732641879157774	0.354156293951541	0	0.129939008220631	0.156977791502612	0.244007773698985	0.0642171096716551	0.113379478314425	0.128220891223017	0.11749468035896	0	0.000308775396776385	0
Coprococcus	0.00399259373861487	0.0200227428135354	0	0.939196369589568	0.502909384512352	0.127308525360874	0.00220109174150379	2.04821847663751	0.574025352786415	0.667628117462765	0.52626178225369	0.827344141734916	0.671655753040225	0.532820810458511	0.102975022996011	0.107773942023875	0.156014028781468	0.0823154444125439	0	1.68390347387961	0.707686764970792	0.773051176851652	0.295957114138932	2.34492556847211	1.44555881474716	0.431122212970673	0	0.000308775396776385	0
Lachnospira	0.00199629686930743	0.00491123880332	0	0.860543368513613	2.36360108572513	0.298797881167421	0.00110054587075189	2.64917146717872	5.73068643865104	0.298381281547604	0.318102525763373	0.302523817482868	0.175865294667914	1.51536775736355	0.116059524012022	0.0801906376008781	0.123407096766141	0.0161723500059965	0	1.11906656059401	3.28623999588255	3.27359101705895	0.187067232521778	2.12306572510376	1.03454938260763	2.10287723193635	0	0.00061755079355277	0
Faecalicatena	0.00149722265198058	0.0071779644048523	0	0.0172329609099003	0.021071913642708	0.0529554204644991	0.00220109174150379	0.110233980513477	0.0813202583114088	0.141731108735112	0.12606828209977	0.108641149924787	0.151543498596819	0.00792888110801356	0.0378142079362732	0.0440764142841706	0.0751987618726676	0.0790446320517806	0	0.0662954123574649	0.0694819732880414	0.0496652990714748	0.0111681929863748	0.0580894858030696	0.0948483304937383	0.824313072439634	0	0	0
Anaerotignum	0.00149722265198058	0.00340008840229846	0	1.03287297761262	1.3260701298322	0.00723518826113796	0.00110054587075189	0.0071118697105469	0	0.46497749707835	0.411920782209713	0.536520140397794	0.34798877455566	0.83602122402895	0.00588802545720518	0.00412327746529338	0.00499244892100698	0.00472450674332482	0	0.00530363298859719	0.012867032090378	0.00431872165838912	0.0083761447397811	0.0171468964117495	0.0140516045175909	0.00462577481728189	0	0	0
Dorea	0.00149722265198058	0.0132225660089385	0.00249996875039062	0.193318471745677	0.0583128699320483	0.09174834475826	0	0.355593485527345	0.0813202583114088	0.0248651067956337	0.0410454871952739	0.0501420691960555	0.0374181478016838	0.173166763399016	0.0710488405169425	0.0766360880618321	0.115138353240723	0.0823154444125439	0	0.384513391673296	0.190432074937595	0.209458000431872	0.0586330131784677	0.649832380339159	1.01522842639594	0.401517254140068	0.00537634408602151	0.00802816031618601	0
Marvinbryantia	0.00149722265198058	0.00793353960536307	0	0.0760017763205861	0.0802193148081308	0.100676874952856	0.00110054587075189	0.0284474788421876	0.0287012676393207	0.218812939801576	0.422182154008532	0.668560922614073	0.581852198316183	0.0681883775289166	0.12521867472323	0.0993852051117266	0.157574169069283	0.0948535584621367	0	0.0318217979315831	0.0334542834349829	0.0475059382422803	0.0307125307125307	0.0493410692664628	0.0386419124233748	0.0351558886113424	0	0	0
Novisyntrophococcus	0.000499074217326859	0.00528902640357538	0.00124998437519531	0.00574432030330011	0.00135611325423368	0.0124691542372803	0	0	0.00956708921310691	0.115622746599697	0.0659659615638331	0.167140230653518	0.0467726847521048	0.00285439719888488	0.0105984458229693	0.0112323765433854	0.0168495151083985	0.00963072528446982	0	0.00530363298859719	0.0102936256723024	0.00647808248758368	0.0055840964931874	0.50670828580027	0.685015720232554	0	0	0	0
Simiaoa	0.000499074217326859	0.00868911480587384	0	0.673190152467517	0.498319462728792	0.149937731198901	0.00330163761225568	0.426712182632814	0.344415211671849	0.0372976601934505	0.0337159359104036	0.110312552231322	0.0168381665107577	1.148736294929	0.412423472024683	0.153556540086788	0.388318917637074	0.0365240713618572	0	0.236011667992575	0.401451401219795	0.583027423882531	0.42997542997543	0.588243527921446	0.237120826234346	0.350633731149968	0.010752688172043	0	0
Lachnoanaerobaculum	0.000499074217326859	0.0362676096245169	0.0287496406294921	0.0987581221375058	0.0733344321327906	0.0063115472065246	0.00660327522451136	0.867648104686722	0.377900023917723	0.00497302135912674	0.00732955128487034	0.0116998161457463	0.0112254443405051	0.0919750208529573	0.0052338004064046	0.00696691709653019	0.00748867338151047	0.00290738876512296	0	0.32086979581013	0.241900203299107	0.151155258043619	0.0335045789591244	0.116528908267604	0.953752656631479	0.123045610139698	0.451612903225806	0.205644414253072	0
Peptacetobacter	0.0059888906079223	0.0109558404074061	0	0.000441870792561547	0.000104316404171822	0.00277092316384007	0	0	0.00478354460655346	2.26272471840267	1.58464898778897	3.26592010696975	0.501403180542563	0	0.00117760509144104	0.000426545944685522	0.000936084172688808	0.000908558989100926	0	0	0	0	0.0027920482465937	0.00069987332292855	0.00175645056469886	0	0.198924731182796	0.550237757055518	0
